source,original_text,cleaned_text,translated_text,location_hint,language_hint,timestamp
gdelt,Why public mobility matters more than ever : The Aseana City way https://media.philstar.com/photos/2026/04/14/lead_2026-04-14_16-26-26.jpg,why public mobility matters more than ever : the aseana city way https://media.philstar.com/photos/2026/04/14/lead_2026-04-14_16-26-26.jpg,why public embryoty mutters more han ever: the aseana cityway,,taglish,2026-05-30T08:03:37.437701+00:00
gdelt,EDSA rehab on track â€ DPWH | Philstar . com https://media.philstar.com/photos/2026/03/24/5_2026-03-24_21-02-33.jpg,edsa rehab on track â€ dpwh | philstar . com https://media.philstar.com/photos/2026/03/24/5_2026-03-24_21-02-33.jpg,edsa rehab on track we mustâance dpwh philstar . com,Edsa,taglish,2026-05-30T08:03:37.437701+00:00
gdelt,MMDA to retain new traffic scheme along Quezon Ave after dry run showed faster travel time https://www.manilatimes.net/theme_manilatimes/images/TMT_1920x1008.jpg,mmda to retain new traffic scheme along quezon ave after dry run showed faster travel time https://www.manilatimes.net/theme_manilatimes/images/tmt_1920x1008.jpg,mmda to retain neww traffic scheme wave quezon ave after dry run shower travel time,Manila,taglish,2026-05-30T08:03:37.437701+00:00
gdelt,Cable thief caught in the act through live MMDA Cameras https://www.manilatimes.net/manilatimes/uploads/images/2026/05/26/1071338.jpg,cable thief caught in the act through live mmda cameras https://www.manilatimes.net/manilatimes/uploads/images/2026/05/26/1071338.jpg,cable throug live mmda cameras,Manila,taglish,2026-05-30T08:03:37.437701+00:00
gdelt,4 - day work schedule to ease oil crisis impact https://www.manilatimes.net/manilatimes/uploads/images/2026/03/08/964631.jpg,4 - day work schedule to ease oil crisis impact https://www.manilatimes.net/manilatimes/uploads/images/2026/03/08/964631.jpg,4 - day workshop to ease oil crisis impact,Manila,taglish,2026-05-30T08:03:37.437701+00:00
gdelt,DPWH makes use of Lenten break for road repairs in Metro Manila https://canadianinquirer.net/wp-content/uploads/2026/03/0-02-06-6c9b65c6baf7257e8354494858e41fb2551fc0a5b62ef10cdb7eb0689497e4d74760339300eb1b5e.jpg,dpwh makes use of lenten break for road repairs in metro manila https://canadianinquirer.net/wp-content/uploads/2026/03/0-02-06-6c9b65c6baf7257e8354494858e41fb2551fc0a5b62ef10cdb7eb0689497e4d74760339300eb1b5e.jpg,dpwh makeup mouse of lens break for broad repairs in metro manila,Manila,taglish,2026-05-30T08:03:37.437701+00:00
gdelt,Transport strike erupts in Philippines to protest surging fuel costs - Xinhua,transport strike erupts in philippines to protest surging fuel costs - xinhua,transport strike erupts in philippines to propest fuel contests - xinhua,,taglish,2026-05-30T08:03:37.437701+00:00
gdelt,EDSA traffic volume drops amid oil price hikes https://media.philstar.com/photos/2026/03/24/7_2026-03-24_22-08-32.jpg,edsa traffic volume drops amid oil price hikes https://media.philstar.com/photos/2026/03/24/7_2026-03-24_22-08-32.jpg,edsa traffic volume drops amid oil mainikes,Edsa,taglish,2026-05-30T08:03:37.437701+00:00
gdelt,"Limang minuto , nariyan kami : Nicolas Torre spotlights MMDA hotline https://media.interaksyon.com/wp-content/uploads/2026/05/Nicolas-Torre_MMDA.jpg","limang minuto , nariyan kami : nicolas torre spotlights mmda hotline https://media.interaksyon.com/wp-content/uploads/2026/05/nicolas-torre_mmda.jpg","five minutes, we're there: nicolas torre spotlights mmda hotline",,taglish,2026-05-30T08:03:37.437701+00:00
gdelt,Tourist bus catches fire along EDSA https://media.philstar.com/photos/2026/04/25/4_2026-04-25_20-32-48.jpg,tourist bus catches fire along edsa https://media.philstar.com/photos/2026/04/25/4_2026-04-25_20-32-48.jpg,tourist bus cats fire wave edsa,Edsa,taglish,2026-05-30T08:03:37.438699+00:00
gdelt,Fuel Queues Boom in Philippines Amid Price Surge https://www.arabtimesonline.com/arabtimes/uploads/images/2026/03/09/thumbs/400x400/116806.jpg,fuel queues boom in philippines amid price surge https://www.arabtimesonline.com/arabtimes/uploads/images/2026/03/09/thumbs/400x400/116806.jpg,fuel queues boom in philippines amid furge,,taglish,2026-05-30T08:03:37.438699+00:00
gdelt,44 airports on Holy Week alert https://media.philstar.com/photos/2026/03/30/a3-1-29_2026-03-30_20-43-28.jpg,44 airports on holy week alert https://media.philstar.com/photos/2026/03/30/a3-1-29_2026-03-30_20-43-28.jpg,44 airports on hookew alert,,taglish,2026-05-30T08:03:37.438699+00:00
gdelt,Manila Bulletin - PCG records uptick in port passengers during Holy Week despite oil price shock https://mb.com.ph/manilabulletin/uploads/images/2026/04/06/91323.webp,manila bulletin - pcg records uptick in port passengers during holy week despite oil price shock https://mb.com.ph/manilabulletin/uploads/images/2026/04/06/91323.webp,manila bulletin - pcg records uptick in port parsengers du - holy espite oil prize shock,Manila,taglish,2026-05-30T08:03:37.438699+00:00
